,Historical Price,Forecast,Lower Confidence,Upper Confidence
2024-06-17,130.93949760315,,,
2024-06-18,135.538075164415,,,
2024-06-19,135.538075164415,,,
2024-06-20,130.739559448312,,,
2024-06-21,126.530861288981,,,
2024-06-24,118.07347733935,,,
2024-06-25,126.051009717371,,,
2024-06-26,126.360913857369,,,
2024-06-27,123.951659091576,,,
2024-06-28,123.501798243191,,,
2024-07-01,124.261563231574,,,
2024-07-02,122.632067269647,,,
2024-07-03,128.240332512842,,,
2024-07-04,128.240332512842,,,
2024-07-05,125.791090116082,,,
2024-07-08,128.160357250907,,,
2024-07-09,131.339373912825,,,
2024-07-10,134.868282345709,,,
2024-07-11,127.360604631557,,,
2024-07-12,129.200035656063,,,
2024-07-15,128.400283036712,,,
2024-07-16,126.320926226401,,,
2024-07-17,117.953514446447,,,
2024-07-18,121.05255584643,,,
2024-07-19,117.893532999996,,,
2024-07-22,123.501798243191,,,
2024-07-23,122.552092007712,,,
2024-07-24,114.214670950984,,,
2024-07-25,112.245280125834,,,
2024-07-26,113.0250389297,,,
2024-07-29,111.555493491644,,,
2024-07-30,103.697924006526,,,
2024-07-31,116.983814395485,,,
2024-08-01,109.176229449076,,,
2024-08-02,107.236829347152,,,
2024-08-05,100.418938267189,,,
2024-08-06,104.217763209104,,,
2024-08-07,98.8794144749395,,,
2024-08-08,104.937540566519,,,
2024-08-09,104.717608596198,,,
2024-08-12,108.986288201981,,,
2024-08-13,116.104086514199,,,
2024-08-14,118.043486616124,,,
2024-08-15,122.822008516743,,,
2024-08-16,124.541476648347,,,
2024-08-19,129.959800644446,,,
2024-08-20,127.210651015429,,,
2024-08-21,128.460264483164,,,
2024-08-22,123.701736398029,,,
2024-08-23,129.329995456707,,,
2024-08-26,126.42089530382,,,
2024-08-27,128.260326328326,,,
2024-08-28,125.57115814576,,,
2024-08-29,117.553638136772,,,
2024-08-30,119.333087714827,,,
2024-09-02,119.333087714827,,,
2024-09-03,107.966603612309,,,
2024-09-04,106.177157126512,,,
2024-09-05,107.1768479007,,,
2024-09-06,102.798202309757,,,
2024-09-09,106.437076727801,,,
2024-09-10,108.066572689728,,,
2024-09-11,116.873848410324,,,
2024-09-12,119.113155744505,,,
2024-09-13,119.073164757182,,,
2024-09-16,116.75368749239,,,
2024-09-17,115.563955619501,,,
2024-09-18,113.34445582302,,,
2024-09-19,117.843441896969,,,
2024-09-20,115.973863239572,,,
2024-09-23,116.233804657178,,,
2024-09-24,120.842765946268,,,
2024-09-25,123.482171109651,,,
2024-09-26,124.012051691694,,,
2024-09-27,121.372646528311,,,
2024-09-30,121.412637515635,,,
2024-10-01,116.973637922672,,,
2024-10-02,118.823221086407,,,
2024-10-03,122.822319818806,,,
